epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,2439.75,1.0045,0.91837,1.09758,0.95079,0.97799,0.99129,0.77175,0.76375,1.00175,1.05971,0.000216069,0.000216069,0.000216069
79,2470.83,1.00852,0.9164,1.12993,0.94605,0.98029,0.99118,0.77301,0.75711,0.98678,1.05611,0.00020707,0.00020707,0.00020707
80,2501.92,0.98378,0.91383,1.13871,0.97868,0.94578,0.99188,0.78334,0.74362,0.97693,1.04432,0.000198071,0.000198071,0.000198071
81,2533.08,0.94132,0.85788,1.08321,0.97283,0.95447,0.99209,0.78693,0.73874,0.97728,1.03899,0.000189072,0.000189072,0.000189072
82,2564,0.94965,0.88936,1.1291,0.96378,0.9681,0.98964,0.78404,0.73464,0.98515,1.03518,0.000180073,0.000180073,0.000180073
83,2595.1,0.90739,0.83854,1.0636,0.95447,0.96995,0.99022,0.78409,0.73568,0.99382,1.03623,0.000171074,0.000171074,0.000171074
84,2626.71,0.98361,0.89606,1.12592,0.95359,0.98061,0.9911,0.78163,0.74808,0.98808,1.04091,0.000162075,0.000162075,0.000162075
85,2657.84,0.94409,0.88762,1.09121,0.96142,0.97846,0.99103,0.78217,0.73848,0.9752,1.03882,0.000153076,0.000153076,0.000153076
86,2689.15,0.9564,1.00234,1.15065,0.96402,0.9812,0.9904,0.78012,0.72364,0.96361,1.03624,0.000144077,0.000144077,0.000144077
87,2720.2,0.92877,0.85725,1.09625,0.96553,0.981,0.98932,0.79106,0.71122,0.96165,1.03074,0.000135077,0.000135077,0.000135077
88,2751.12,0.98921,0.97193,1.17557,0.96657,0.97654,0.99127,0.79848,0.68818,0.94012,1.02293,0.000126078,0.000126078,0.000126078
89,2781.85,0.88927,0.83565,1.09166,0.96198,0.97911,0.99016,0.80472,0.68208,0.92849,1.02122,0.000117079,0.000117079,0.000117079
90,2812.46,0.8714,0.86949,1.09562,0.9602,0.98086,0.99087,0.81065,0.67429,0.92334,1.0173,0.00010808,0.00010808,0.00010808
91,2843.11,0.88176,0.93695,1.06677,0.958,0.97789,0.99005,0.81271,0.66885,0.92197,1.01194,9.9081e-05,9.9081e-05,9.9081e-05
92,2873.5,0.86397,0.89859,1.04033,0.95444,0.9747,0.99063,0.81666,0.65908,0.93657,0.99884,9.00819e-05,9.00819e-05,9.00819e-05
93,2903.97,0.89378,0.95062,1.0726,0.95471,0.97428,0.98985,0.81861,0.65625,0.94888,0.99502,8.10828e-05,8.10828e-05,8.10828e-05
94,2934.22,0.85982,0.88395,1.0874,0.95917,0.96968,0.98962,0.8119,0.65385,0.96378,0.99297,7.20837e-05,7.20837e-05,7.20837e-05
95,2964.5,0.83184,0.91174,1.02649,0.95282,0.98087,0.99041,0.81364,0.65332,0.97538,0.99251,6.30846e-05,6.30846e-05,6.30846e-05
96,2995.09,0.89005,0.89728,1.08475,0.95548,0.98231,0.99007,0.813,0.6515,0.97746,0.99337,5.40855e-05,5.40855e-05,5.40855e-05
97,3025.51,0.82765,0.90062,1.03911,0.95947,0.98242,0.99145,0.81468,0.65089,0.97033,0.99446,4.50864e-05,4.50864e-05,4.50864e-05
98,3055.96,0.86103,0.91352,1.07877,0.96291,0.97802,0.9914,0.81473,0.65079,0.95994,0.99477,3.60873e-05,3.60873e-05,3.60873e-05
99,3086.76,0.81896,0.91613,1.05349,0.96243,0.9778,0.99227,0.81267,0.64976,0.94902,0.99422,2.70882e-05,2.70882e-05,2.70882e-05
100,3117.1,0.80669,0.86953,1.03857,0.96288,0.97732,0.9914,0.80941,0.65014,0.93828,0.99465,1.80891e-05,1.80891e-05,1.80891e-05
